title,teacher,price,time
 آموزش پله اول ثروت‌ سازی با وردپرس ,جان درمیان,0,221
 دوره آموزش N8N - ساخت اتوماسیون از صفر ,مدائنی," 2,660,000 ",319
 بوت کمپ Asp.Net Core پیشرفته ,مدائنی," 5,040,000 ",2154
 پیاده سازی صفر تا صد پروژه میکرو سرویس ,نورقربانی,0,1465
 آموزش لایو وایر 4 برای بازار کار ,منتظر," 990,000 ",69
 دوره پروژه محور مدیریت فروش و انبار در SQL Server ,مصری," 2,000,000 ",1098
 آموزش جامع زبان سی C ,ارزنی," 950,000 ",819
 آموزش کاربردی Sqlite ,نوروزی,0,65
 آموزش ساخت قالب اختصاصی وردپرس با PHP؛ تبدیل قالب HTML به قالب وردپرسی ,کیانی," 2,275,000 ",419
 آموزش جامع ریاضیات هوش مصنوعی - جبر خطی ,تقی پور," 570,000 ",212
 آموزش فشرده برنامه نویسی زبان Go ,قدم خیر," 375,000 ",147
 آموزش ساخت وبسایت کلینیک آنلاین با Asp.Net Core ,میری,0,405
 آموزش ساخت بازی جت جنگنده در آنریل انجین ۵ ,کمره‌ئی," 2,198,000 ",215
 کارگاه ساخت فضای کار هوش مصنوعی با MAUI Blazor ,قادری جویباری," 2,850,000 ",266
 آموزش جاوا اسکریپت متوسط ,پور," 900,000 ",38
 آموزش تامین امنیت در PHP ,خدام,0,535
 آموزش ساخت سایت مزایده ای با Asp.net Core ,طاهری," 1,200,000 ",989
 آموزش جامع میکروسرویس در net. ,رضایی," 600,000 ",1157
 آموزش جامع و پروژه محور Bootstrap+Css Grid+Flexbox+Css ,فاطمی," 375,000 ",456
 آموزش راه‌اندازی و استقرار پروژه‌های Django روی سرور Ubuntu ,اله دادی,0,63
 بوت کمپ برنامه نویس شو ,مدائنی," 4,550,000 ",2702
 دوره جامع و پروژه محور آموزش لاراول (Laravel) | ویژه بازارکار و استخدام ,خسروجردی," 1,539,600 ",443
 آموزش جامع خط فرمان ویندوز CMD (Command Prompt) ,شاهوی," 447,000 ",174
 آموزش جاوا اسکریپت کاربردی – از صفر تا پروژه ,بختیاروند," 500,000 ",82
